"","data","networth","weight"
"773","DINA",94083941,52.9642
"774","DINA",93963239,54.17983
"775","DINA",93828147.8,55.31014
"776","DINA",93702086.6,54.22249
"777","DINA",93586254.8,52.77227
"778","DINA",93516066,75.59155
"779","DINA",93447774.8,54.15851
"780","DINA",93362227.4,53.65733
"781","DINA",93290274.8,54.2225
"782","DINA",93238309.6,54.2225
"783","DINA",93167745,53.72131
"784","DINA",93111789.6,53.69999
"785","DINA",93087404.8,86.14816
"786","DINA",92944252.6,53.80661
"787","DINA",92850123,53.92392
"788","DINA",92743262,53.85992
"789","DINA",92632647.2,54.08387
"790","DINA",92568903.8,52.64431
